description,category
pasta at restaurant,Food
comic for design,Study
data science school fee,Study
enjoyed sushi takeout,Food
copying and printing docs,Study
grab parking,Transport
show ticket,Others
tax bill,Others
bill for espresso party,Food
marketing printing,Study
bottle of red wine for party,Food
spa fee,Others
english photocopy,Study
soju at starbucks,Food
dim sum at cafe,Food
duolingo for python,Study
comic for programming,Study
bought udemy,Study
salon fee,Others
bought paper from tiki,Shopping
bill for xoi with family,Food
coding school fee,Study
bought beanie from chanel,Shopping
gmat prep book,Study
english test fee,Study
science test fee,Study
haircut fee,Others
vitamins and supplements,Shopping
fitness subscription,Others
metro ticket to downtown,Transport
new perfume shopping,Shopping
cable bill,Others
uber tire change,Transport
new socks shopping,Shopping
bought belt from chanel,Shopping
pizza at 7-eleven,Food
plane maintenance,Transport
book for programming,Study
programming subscription,Study
planner for design,Study
apple music subscription,Others
had tempura for breakfast,Food
fuel for metro,Transport
science photocopy,Study
new hoodie shopping,Shopping
new shirt shopping,Shopping
language learning flashcards,Study
notebook for english,Study
new cap shopping,Shopping
bought makeup from shopee,Shopping
repair fee,Others
seafood at lotte,Food
grab tire change,Transport
motorbike parking,Transport
new cap shopping,Shopping
vegetables at family mart,Food
bought phone from chanel,Shopping
notebook for coding,Study
tv bill,Others
uber parking,Transport
bill for pepsi for dinner,Food
training for programming,Study
bought ielts,Study
business test fee,Study
ate tteokbokki alone,Food
maintenance fee,Others
design test fee,Study
paid for cake party,Food
juice at pizza hut,Food
bought coursera,Study
fruit tea at ministop,Food
fitness subscription,Others
bill for pepsi snack,Food
bought magazine,Study
bought watch from amazon,Shopping
new sunglasses shopping,Shopping
ordered espresso with family,Food
magazine for design,Study
motorbike ticket to downtown,Transport
diesel for train,Transport
seminar for music,Study
new toy shopping,Shopping
new hat shopping,Shopping
udemy for english,Study
museum entry ticket,Others
movie ticket,Others
bought udemy,Study
flight fare to mall,Transport
bought workshop,Study
motorbike trip to airport,Transport
udemy for data science,Study
gym subscription,Others
bun cha at pizza hut,Food
icloud subscription,Others
mai linh ticket to downtown,Transport
new pants shopping,Shopping
yoga subscription,Others
pencil for science,Study
magazine for math,Study
ielts for math,Study
eraser for python,Study
bought class,Study
pen for science,Study
insurance bill,Others
new pen shopping,Shopping
scooter cleaning,Transport
tv bill,Others
wifi bill,Others
had sushi meeting,Food
apartment rent payment,Others
bought ring from uniqlo,Shopping
bought ruler,Study
new shoes shopping,Shopping
lost key replacement,Others
new laptop shopping,Shopping
ielts for programming,Study
pharmacy fee,Others
webinar for design,Study
bought cocktail for dinner,Food
marketing exam fee,Study
laundry fee,Others
gas bill,Others
cinema ticket,Others
rent bill,Others
pedicure fee,Others
mai linh tire change,Transport
new bracelet shopping,Shopping
event ticket,Others
game ticket,Others
bought laptop from supermarket,Shopping
cold brew at pizza hut,Food
mobile bill,Others
uber ride to downtown,Transport
cab tire change,Transport
business test fee,Study
charging for cab,Transport
bought suitcase from store,Shopping
ordered hu tieu with family,Food
water bill,Others
barber fee,Others
zoo ticket,Others
new laptop shopping,Shopping
bought toefl,Study
cappuccino at restaurant,Food
new speaker shopping,Shopping
buying shoes,Shopping
new headphones shopping,Shopping
bought keyboard from uniqlo,Shopping
fuel for be,Transport
karaoke ticket,Others
drank xoi date,Food
lesson for programming,Study
bought slippers from market,Shopping
pen for music,Study
art photocopy,Study
udon at gong cha,Food
tax bill,Others
dentist fee,Others
business tuition,Study
ordered beer snack,Food
breakfast at pancakes house,Food
bought pencil,Study
ate bun cha with friends,Food
dictionary for music,Study
mai linh ticket to work,Transport
magazine subscription,Others
croissant at ministop,Food
fitness subscription,Others
water bill,Others
dumplings at pizza hut,Food
bought pen from chanel,Shopping
bill for eggs with friends,Food
dentist fee,Others
mortgage bill,Others
bought marker,Study
rice at starbucks,Food
enjoyed smoothie date,Food
python certification fee,Study
bought muffin delivery,Food
math exam fee,Study
magazine subscription,Others
had burger takeout,Food
billiards ticket,Others
bill for ramen for dinner,Food
rent bill,Others
new skirt shopping,Shopping
science membership,Study
mobile bill,Others
bowling ticket,Others
new phone shopping,Shopping
yoga subscription,Others
apple music subscription,Others
loan bill,Others
oil for uber,Transport
ielts for data science,Study
bus rental to station,Transport
new hoodie shopping,Shopping
new blazer shopping,Shopping
had cake delivery,Food
training for marketing,Study
bought novel,Study
pasta at diner,Food
ate banh cuon for dinner,Food
rice at highlands,Food
bought shoes from tiki,Shopping
business exam fee,Study
yoga subscription,Others
bought diary,Study
edx for python,Study
new vest shopping,Shopping
tv bill,Others
bought eraser,Study
bought pen,Study
bought notebook,Study
new cable shopping,Shopping
bought shampoo from shopee,Shopping
new jacket shopping,Shopping
doctor fee,Others
pencil for data science,Study
ticket ticket,Others
english school fee,Study
flight fare to mall,Transport
training for science,Study
uber wash,Transport
bowling ticket,Others
business printing,Study
new lotion shopping,Shopping
seafood at winmart,Food
new toy shopping,Shopping
event ticket,Others
english subscription,Study
sedan ride to downtown,Transport
bill for coffee delivery,Food
diesel for be,Transport
bought conditioner from amazon,Shopping
dentist fee,Others
paid for pizza snack,Food
match ticket,Others
plane parking,Transport
airline repair,Transport
bought bracelet from adidas,Shopping
bought body wash from supermarket,Shopping
bought toy from supermarket,Shopping
metro tire change,Transport
bought textbook,Study
oil for taxi,Transport
coding printing,Study
ordered juice with friends,Food
bought t-shirt from shop,Shopping
lesson for marketing,Study
new hoodie shopping,Shopping
gas for car,Transport
diary for python,Study
bought necklace from uniqlo,Shopping
tv bill,Others
drank donut for dinner,Food
bought purse from gucci,Shopping
vinasun rental to downtown,Transport
fuel for sedan,Transport
fitness subscription,Others
gas for plane,Transport
rent bill,Others
youtube subscription,Others
bought laptop from store,Shopping
bought suit from tiki,Shopping
barber fee,Others
bus ticket to mall,Transport
gas for subway,Transport
new boots shopping,Shopping
bought coursera,Study
new blouse shopping,Shopping
bun bo hue at dominos,Food
haircut fee,Others
cookie at family mart,Food
bought tie from zara,Shopping
emergency towing service,Transport
mortgage bill,Others
adidas sneakers,Shopping
car ticket to office,Transport
google drive subscription,Others
new wallet shopping,Shopping
had steak for breakfast,Food
new cap shopping,Shopping
banh mi at bistro,Food
wifi bill,Others
new ring shopping,Shopping
movie ticket,Others
event ticket,Others
bought necklace from lazada,Shopping
course for programming,Study
banh cuon at subway,Food
karaoke ticket,Others
driver license renewal fee,Transport
apple music subscription,Others
new shorts shopping,Shopping
bought gift from gucci,Shopping
new coat shopping,Shopping
pencil for art,Study
barber fee,Others
icloud subscription,Others
new gift shopping,Shopping
bought book,Study
youtube subscription,Others
design exam fee,Study
drank rice alone,Food
massage fee,Others
bought notebook,Study
bought cologne from lazada,Shopping
ordered coke alone,Food
theater ticket,Others
ordered whisky for lunch,Food
paid for vegetables alone,Food
new tie shopping,Shopping
bought calculator,Study
business exam fee,Study
rent bill,Others
yoga subscription,Others
toefl for coding,Study
had kimbap party,Food
train wash,Transport
had boba tea for breakfast,Food
manicure fee,Others
new t-shirt shopping,Shopping
cinema ticket,Others
bill for banh cuon date,Food
mortgage bill,Others
bought lipstick from supermarket,Shopping
bought boots from supermarket,Shopping
fuel for airline,Transport
tempura at restaurant,Food
vinasun toll,Transport
ate cappuccino party,Food
bike toll,Transport
gym subscription,Others
cable bill,Others
car wash and detailing,Transport
oil for cab,Transport
data science membership,Study
netflix subscription,Others
new blazer shopping,Shopping
new lotion shopping,Shopping
diesel for vinasun,Transport
rent bill,Others
bus trip to school,Transport
grab ticket trip,Transport
match ticket,Others
journal for english,Study
charging for taxi,Transport
enjoyed pho snack,Food
manicure fee,Others
sedan parking,Transport
bought udemy,Study
phone bill,Others
bought glasses from shop,Shopping
scooter parking,Transport
edx for math,Study
textbook for math,Study
bought journal,Study
bought webinar,Study
paid for smoothie date,Food
drank soda delivery,Food
coke at circle k,Food
new boots shopping,Shopping
new book shopping,Shopping
wine at pizza hut,Food
gas bill,Others
enjoyed smoothie delivery,Food
haircut fee,Others
new belt shopping,Shopping
bought xoi for breakfast,Food
maintenance fee,Others
suv parking,Transport
bought muffin party,Food
fruit tea at texas chicken,Food
bought hat from shop,Shopping
cappuccino at cafe,Food
ordered dumplings takeout,Food
bought vest from gucci,Shopping
bought game from gucci,Shopping
bought marker,Study
charging for gojek,Transport
loan bill,Others
new ring shopping,Shopping
new game shopping,Shopping
bought jacket from tiki,Shopping
bought suit from uniqlo,Shopping
uber fare trip,Transport
bus oil change,Transport
energy drink before meeting,Food
toefl for music,Study
loan bill,Others
event ticket,Others
bought shoes from supermarket,Shopping
spotify subscription,Others
bought perfume from h&m,Shopping
diesel for cab,Transport
udemy for marketing,Study
bought textbook,Study
legal consultation fee,Others
ordered com tam alone,Food
concert ticket,Others
mai linh journey trip,Transport
bill for coffee with family,Food
grab car to the airport,Transport
edx for marketing,Study
bought toefl,Study
petrol for be,Transport
car booking to station,Transport
oil for taxi,Transport
bought duolingo,Study
wifi bill,Others
loan bill,Others
bibimbap at dominos,Food
gym subscription,Others
bought suitcase from zara,Shopping
manicure fee,Others
coursera for english,Study
drank latte alone,Food
new conditioner shopping,Shopping
pet food and supplies,Others
had xoi takeout,Food
office 365 subscription,Others
new makeup shopping,Shopping
suv rental to downtown,Transport
webinar for art,Study
new sweater shopping,Shopping
petrol for mai linh,Transport
eraser for marketing,Study
bought face wash from shop,Shopping
water bill,Others
programming test fee,Study
had vodka for lunch,Food
cable bill,Others
be booking to school,Transport
massage fee,Others
data science subscription,Study
tax bill,Others
new cable shopping,Shopping
bought speaker from shop,Shopping
new belt shopping,Shopping
uber journey to work,Transport
museum ticket,Others
bought bag from tiki,Shopping
tax bill,Others
kitchen blender for smoothies,Shopping
had banh cuon date,Food
newspaper subscription,Others
bought monitor from mall,Shopping
bought sunglasses from shop,Shopping
uber repair,Transport
bought mouse from adidas,Shopping
enjoyed pizza for dinner,Food
bought croissant alone,Food
drank fried chicken for dinner,Food
new pants shopping,Shopping
laundry fee,Others
water bill,Others
ruler for coding,Study
python exam fee,Study
game ticket,Others
bill for bagel takeout,Food
bought ring from supermarket,Shopping
apple music subscription,Others
pencil for english,Study
yogurt at eatery,Food
marketing school fee,Study
adobe subscription,Others
fuel for airline,Transport
english exam fee,Study
bike wash,Transport
bought marker,Study
newspaper subscription,Others
milk tea at jollibee,Food
wifi bill,Others
scooter ticket to mall,Transport
atm withdrawal fee,Others
coffee beans for home brewing,Food
pharmacy fee,Others
planner for math,Study
rice at bistro,Food
wifi bill,Others
science certification fee,Study
pepsi at texas chicken,Food
new makeup shopping,Shopping
bought keyboard from shop,Shopping
gas for uber,Transport
pharmacy fee,Others
new t-shirt shopping,Shopping
bought skirt from amazon,Shopping
diesel for plane,Transport
bought datacamp,Study
bought hat from lazada,Shopping
flight fare to office,Transport
bought toefl,Study
youtube subscription,Others
plane fare to airport,Transport
notebook for english,Study
mobile bill,Others
pencil for art,Study
taxi booking to station,Transport
workshop for python,Study
be ride to school,Transport
marker for coding,Study
tax bill,Others
bought cologne from nike,Shopping
cab fare to office,Transport
hospital fee,Others
plane trip to mall,Transport
bun cha at cafe,Food
taxi fare to downtown,Transport
enjoyed bun cha with family,Food
new shirt shopping,Shopping
bike wash,Transport
bought cap from adidas,Shopping
bought watch from lazada,Shopping
suv oil change,Transport
spotify subscription,Others
workshop for art,Study
new sandals shopping,Shopping
maintenance fee,Others
hot pot dinner gathering,Food
haircut fee,Others
had soda snack,Food
bought pen,Study
science tuition,Study
dim sum at subway,Food
new phone shopping,Shopping
bought seminar,Study
macchiato at 7-eleven,Food
new tie shopping,Shopping
coursera for business,Study
ate fried chicken with friends,Food
internet bill,Others
dictionary for art,Study
fuel for subway,Transport
netflix subscription,Others
charging for motorbike,Transport
oil for be,Transport
marker for programming,Study
uber trip trip,Transport
new headphones shopping,Shopping
tv bill,Others
bread at 7-eleven,Food
uber maintenance,Transport
webinar for music,Study
bibimbap at ministop,Food
highlighter for python,Study
subway oil change,Transport
udemy for math,Study
bought tablet from lazada,Shopping
eraser for business,Study
ate meat takeout,Food
bought dictionary,Study
bus trip to office,Transport
water bill,Others
tax bill,Others
new mouse shopping,Shopping
taxi wash,Transport
english certification fee,Study
ordered pasta with family,Food
new blouse shopping,Shopping
fuel for train,Transport
bought class,Study
bought shirt from nike,Shopping
fitness subscription,Others
youtube subscription,Others
charging for bike,Transport
new notebook shopping,Shopping
drank coke date,Food
enjoyed wine meeting,Food
seminar for music,Study
beer at texas chicken,Food
uber ride to office,Transport
bought laptop from shopee,Shopping
bought textbook,Study
new socks shopping,Shopping
diesel for plane,Transport
new gift shopping,Shopping
uber ride to office,Transport
barber fee,Others
bought razor from h&m,Shopping
new backpack shopping,Shopping
bill for steak delivery,Food
art subscription,Study
had soju alone,Food
bought pen,Study
new beanie shopping,Shopping
bought razor from chanel,Shopping
coding photocopy,Study
dim sum at 7-eleven,Food
ice cream at mcdonalds,Food
charging for metro,Transport
insurance bill,Others
new charger shopping,Shopping
car ticket to mall,Transport
bought book,Study
medicine fee,Others
hospital fee,Others
paid for wine snack,Food
bought skirt from adidas,Shopping
business membership,Study
new watch shopping,Shopping
bought planner,Study
diary for science,Study
bought beer with friends,Food
highlighter for music,Study
adobe subscription,Others
macchiato at lotte,Food
zoo ticket,Others
car ride to work,Transport
train ticket for weekend trip,Transport
oil for mai linh,Transport
new sweater shopping,Shopping
monthly subway pass,Transport
shampoo and conditioner set,Shopping
data science subscription,Study
adobe subscription,Others
bought comic,Study
muffin at highlands,Food
loan bill,Others
mai linh parking,Transport
lesson for art,Study
bought mouse from uniqlo,Shopping
marker for data science,Study
drank banh mi with friends,Food
bought calculator,Study
ordered udon party,Food
bought seminar,Study
banh mi at eatery,Food
fruit tea at highlands,Food
electricity bill,Others
new heels shopping,Shopping
had pasta for dinner,Food
bought paper from shop,Shopping
bought boots from gucci,Shopping
ordered fruits with friends,Food
udon at kfc,Food
ordered latte with friends,Food
salon fee,Others
new glasses shopping,Shopping
new razor shopping,Shopping
bought datacamp,Study
business tuition,Study
newspaper subscription,Others
medicine fee,Others
had tempura meeting,Food
notebook for music,Study
bill for meat alone,Food
new makeup shopping,Shopping
datacamp for design,Study
fuel for gojek,Transport
bought lotion from amazon,Shopping
rice at diner,Food
diesel for airline,Transport
bought ielts,Study
cleaning fee,Others
calculator for data science,Study
novel for coding,Study
petrol for plane,Transport
new backpack shopping,Shopping
match ticket,Others
magazine subscription,Others
gas bill,Others
bought socks from zara,Shopping
petrol for grab,Transport
internet bill,Others
yoga subscription,Others
new heels shopping,Shopping
coursera for music,Study
pharmacy fee,Others
new pen shopping,Shopping
internet monthly fee,Others
bought ruler,Study
diesel for subway,Transport
hospital fee,Others
match ticket,Others
bought hoodie from tiki,Shopping
paid for cocktail snack,Food
bought bag from adidas,Shopping
soju at winmart,Food
math exam fee,Study
business printing,Study
bought americano date,Food
metro rental to airport,Transport
cab trip to office,Transport
bun bo hue at eatery,Food
drank xoi snack,Food
bought textbook,Study
new sandals shopping,Shopping
bread at lotte,Food
charging for metro,Transport
ice cream at starbucks,Food
gas for subway,Transport
bought fruit tea party,Food
ate juice with family,Food
fitness subscription,Others
ate banh mi alone,Food
ruler for music,Study
meat at cafe,Food
new smartphone shopping,Shopping
training for coding,Study
mortgage bill,Others
car tire change,Transport
car fare to mall,Transport
adobe subscription,Others
gas for suv,Transport
be toll,Transport
new heels shopping,Shopping
car trip to work,Transport
bought edx,Study
workshop for coding,Study
wifi bill,Others
new trousers shopping,Shopping
pharmacy fee,Others
suv booking to airport,Transport
billiards ticket,Others
motorbike journey to downtown,Transport
diesel for grab,Transport
plane oil change,Transport
office 365 subscription,Others
salon fee,Others
youtube subscription,Others
new shorts shopping,Shopping
desk lamp for office,Shopping
google drive subscription,Others
fitness subscription,Others
coding exam fee,Study
gym subscription,Others
bike oil change,Transport
programming exam fee,Study
petrol for uber,Transport
water bill,Others
new hat shopping,Shopping
course for marketing,Study
bought cappuccino party,Food
insurance bill,Others
icloud subscription,Others
book for coding,Study
new flower shopping,Shopping
newspaper subscription,Others
uber wash,Transport
maintenance fee,Others
barber fee,Others
gas for flight,Transport
udon at eatery,Food
petrol for subway,Transport
hand cream and lotion,Shopping
python tuition,Study
diesel for bike,Transport
haircut fee,Others
new tie shopping,Shopping
python subscription,Study
coursera for python,Study
bought course,Study
motorbike oil change,Transport
com tam at kfc,Food
new cream shopping,Shopping
coding certification fee,Study
haircut fee,Others
webinar for marketing,Study
coding photocopy,Study
coursera for science,Study
udemy for english,Study
metro journey to station,Transport
be trip to school,Transport
spaghetti carbonara ingredients,Food
mai linh oil change,Transport
enjoyed bun cha party,Food
dictionary for python,Study
milk at cafe,Food
enjoyed tteokbokki with family,Food
ielts for music,Study
bought suitcase from market,Shopping
ordered milk with friends,Food
sushi at cafe,Food
vodka at convenience store,Food
cinema ticket,Others
new shoes shopping,Shopping
bought ice cream date,Food
python membership,Study
enjoyed sushi takeout,Food
enjoyed bibimbap date,Food
coke at the coffee house,Food
uber journey to airport,Transport
tuition fee,Study
notebook for design,Study
gas for vinasun,Transport
python membership,Study
bought bibimbap with friends,Food
paid for fish for breakfast,Food
new keyboard shopping,Shopping
new phone shopping,Shopping
motorbike maintenance,Transport
bought ruler,Study
fuel for cab,Transport
bought notebook,Study
bagel at jollibee,Food
bus oil change,Transport
art photocopy,Study
charging for motorbike,Transport
datacamp for english,Study
bought dress from shop,Shopping
bought coat from nike,Shopping
new gloves shopping,Shopping
scooter tire change,Transport
new phone shopping,Shopping
new backpack shopping,Shopping
milk tea at pizza hut,Food
had sushi with friends,Food
internet bill,Others
office 365 subscription,Others
bought face wash from market,Shopping
mobile bill,Others
ate milk delivery,Food
new sweater shopping,Shopping
park ticket,Others
bought wallet from adidas,Shopping
programming certification fee,Study
sedan trip to school,Transport
spotify subscription,Others
laundry fee,Others
metro cleaning,Transport
bought textbook,Study
bought earphones from shop,Shopping
donut at lotte,Food
highway toll fee,Transport
google drive subscription,Others
massage fee,Others
newspaper subscription,Others
bought webinar,Study
flight ticket to airport,Transport
insurance bill,Others
bought pen,Study
math photocopy,Study
cold brew at food court,Food
gas for cab,Transport
fuel for gojek,Transport
meat at the coffee house,Food
bought power bank from market,Shopping
diary for business,Study
hospital fee,Others
english subscription,Study
science printing,Study
new case shopping,Shopping
new tie shopping,Shopping
paid for fruits with family,Food
ordered cappuccino with friends,Food
paid for espresso takeout,Food
bill for meat alone,Food
manicure fee,Others
bought laptop from tiki,Shopping
had milk tea party,Food
insurance bill,Others
bibimbap at starbucks,Food
icloud subscription,Others
datacamp for music,Study
bought ring from store,Shopping
uber trip to home,Transport
train repair,Transport
new jacket shopping,Shopping
eggs at starbucks,Food
lesson for science,Study
plane rental to school,Transport
new lotion shopping,Shopping
dim sum at cafe,Food
business tuition,Study
new soap shopping,Shopping
car ticket trip,Transport
drank cold brew delivery,Food
cookie at circle k,Food
bought pen from tiki,Shopping
whiteboard for study room,Study
charging for plane,Transport
soda at cafe,Food
datacamp for business,Study
bought marker,Study
nike air max sneakers,Shopping
electricity bill,Others
taxi wash,Transport
magazine subscription,Others
be trip to office,Transport
new sandals shopping,Shopping
bought wallet from adidas,Shopping
bought laptop from store,Shopping
google drive subscription,Others
gas bill,Others
petrol for cab,Transport
bill for yogurt for breakfast,Food
new shoes shopping,Shopping
paid for bagel for dinner,Food
manicure fee,Others
gas for grab,Transport
bought trousers from store,Shopping
bought tablet from h&m,Shopping
bought hat from shopee,Shopping
gas for be,Transport
bread at family mart,Food
spotify subscription,Others
bought headphones from uniqlo,Shopping
theater ticket,Others
bun cha at winmart,Food
bought earrings from nike,Shopping
grab cleaning,Transport
flight toll,Transport
